author,name,nums,ratings
白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,台北人,20496人,8.9
白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,台北人,20496人,8.9
白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,台北人,20496人,8.9
[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元,伊豆的舞女,34371人,8.2
[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,情书,61213人,8.6
梁文道 / 广西师范大学出版社 / 2010-10 / 35.00元,我执,26590人,8.0
[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,飘,103322人,9.3
林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,城南旧事,44214人,9.0
hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,阿狸·梦之城堡,27258人,9.0
桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,那些回不去的年少时光,36517人,8.5
[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,哈利·波特与凤凰社,76806人,8.7
白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,台北人,20496人,8.9
[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元,伊豆的舞女,34371人,8.2
[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,情书,61213人,8.6
梁文道 / 广西师范大学出版社 / 2010-10 / 35.00元,我执,26590人,8.0
[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,飘,103322人,9.3
林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,城南旧事,44214人,9.0
hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,阿狸·梦之城堡,27258人,9.0
桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,那些回不去的年少时光,36517人,8.5
